"","roll_belt","pitch_belt","yaw_belt","total_accel_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"15808",-25.6,-1.84,-87.6,11,0.1,0.11,0.3,-34,-9,100,-4,673,-212,96.6,-43.2,8.18,27,1.56,-0.27,0.23,138,77,-209,738,-67,47,81.66269624,29.58324161,66.81239921,3,1.72,-1.08,-0.56,8,20,17,-408,264,297,175,9.85,-33.5,23,-0.74,4.69,0.31,137,20,177,504,-782,119,"D"
"4908",119,17,0.01,18,0.06,0.13,-0.18,-24,65,-165,23,598,-339,-32.5,25.8,-82.1,27,1.51,-0.96,0.82,-255,-57,17,-168,259,622,39.27082455,-34.14517786,103.7344208,2,-0.29,0.11,0.26,-7,8,18,-486,376,-180,-45.7,27.6,-171,48,0.05,-1.3,-0.25,-455,-110,10,-634,-3,316,"A"
"15975",1.03,7.54,-93.3,3,0,0,-0.07,-19,3,21,6,601,-307,59,-30,50.9,14,2.26,-1.09,0.3,-33,127,-19,526,76,435,115.7331222,11.8435929,39.4143525,3,-0.06,-0.08,-0.1,4,31,13,-512,347,-18,-137,37.8,-114,27,0.66,2.15,0.39,-122,-143,-190,-318,-425,248,"D"
"1082",131,-40.7,160,18,0.02,0.1,-0.34,48,50,-162,161,610,-352,122,72.6,150,26,0.21,-0.47,0.77,-246,-71,12,-182,210,657,38.51695463,-29.92386368,-107.2918562,18,0.13,0.11,-0.15,-51,65,-152,-574,243,40,0,0,0,41,1.12,0.5,0.38,-29,400,-33,-162,774,563,"A"
"16540",0.38,7.67,-92,3,-0.08,0.1,0.79,-20,-8,14,16,601,-319,74.6,-18.4,64.4,21,-4.06,1.57,-1.13,-101,157,97,351,161,531,56.73334545,-14.70894042,98.00125245,2,0.06,-0.16,-0.07,-3,11,17,-588,223,-40,178,49.3,-148,24,-0.51,4.24,1.03,-116,7,-209,-542,-176,371,"E"
"6113",1.25,3.8,-89.1,3,0,-0.02,-0.1,-7,3,27,41,563,-429,86.6,11.7,117,32,-0.02,0.02,-0.03,-234,155,-135,-359,309,541,15.85306043,3.947710489,140.7343476,8,-1.49,0.55,0.28,3,12,75,-299,312,376,-174,22.4,102,38,0.42,-1.25,-0.39,-89,296,211,-707,1180,-560,"B"
"15422",119,15.8,-0.02,18,0.22,0.13,-0.13,-22,64,-158,20,601,-334,-32.4,-3.94,-47.3,9,1.96,-1.09,0.85,-60,-46,53,416,164,498,118.0322923,38.79571974,4.204552227,2,-0.19,-0.03,0.26,9,22,1,-407,469,-40,-43.7,47.4,-133,43,-0.02,-0.1,-0.2,-420,-27,2,-687,273,440,"D"
"7837",127,-43.9,164,18,0.05,0.13,-0.18,53,44,-161,166,603,-311,34.7,43.1,-3.08,22,1.35,-1.12,0.87,-206,-1,45,1,342,564,99.43199029,-19.06516327,-53.6431994,18,0.92,-0.72,-0.28,-33,146,-89,-459,372,122,0,0,0,32,1.17,-1.94,-0.56,-295,98,12,-498,-228,361,"B"
"17531",130,5.65,40.7,18,0.26,0.11,-0.13,-28,65,-162,102,587,-358,-57.7,14.7,-101,29,1.73,-0.83,0.8,-273,-67,33,-261,205,623,-89.22706925,-57.63285996,-31.66654847,7,0.16,0.53,-0.16,-35,-50,-20,-436,436,34,30.7,51.5,-48.8,17,-0.88,2.01,-0.15,-129,102,17,-370,750,558,"E"
"972",122,-44.2,179,18,0.18,0.1,-0.13,47,44,-160,207,586,-324,-22.4,66.9,166,23,-0.11,-0.19,1,-158,85,-129,113,577,150,47.51750701,-28.85255491,-100.183069,18,0.16,0.06,-0.13,-51,82,-151,-564,255,44,0,0,0,12,-2.97,-2.3,1.79,71,95,22,617,-319,82,"A"
"16116",146,-30.9,130,19,0.26,0.03,-0.71,39,19,-184,171,566,-375,-81.9,-39.7,36.8,32,2.49,-1.3,0.54,93,-120,-275,602,-6,-375,31.27667219,-23.28681783,-117.6005207,17,0.18,-0.16,-0.31,-39,52,-156,-621,90,30,0,0,0,31,1.77,-1.56,0.25,-294,-58,-21,-257,-539,56,"E"
"13388",118,16.2,-2.41,18,0.1,0.1,-0.21,-20,62,-164,23,600,-314,-41.7,-2.78,-35.4,11,-0.9,-0.14,0.44,-22,-105,-24,553,64,414,109.225388,41.53224862,-22.37798097,5,-0.1,-0.18,-0.16,20,44,-11,-363,501,-49,0.4,61.2,-73.3,35,0.31,-1.3,-0.16,-315,130,31,-637,585,603,"D"
"2406",0.5,5.71,-88.3,5,0.02,0,0,-15,2,44,53,634,-300,0,0,0,38,0.05,0,-0.03,-281,153,-195,-422,456,339,45.88857758,-52.40970025,-83.88642006,30,0.37,0.16,-0.39,-148,131,-220,-561,290,-4,49.2,-58.8,164,33,0.03,-0.02,-0.03,231,96,-204,131,537,710,"A"
"4088",122,-43.7,173,17,0.11,0.11,-0.16,48,46,-157,173,613,-292,0.9,-45.3,-31.3,25,0.26,-0.45,0.74,159,-111,-147,755,-59,-114,48.55885918,-31.84785484,-97.39543809,17,0.06,0,-0.11,-53,79,-140,-552,284,27,0,0,0,38,0.66,2.87,0.9,-308,207,23,-676,173,592,"A"
"699",122,-44.8,178,18,0.08,0.1,-0.08,54,44,-158,221,590,-327,30.6,76.5,-142,16,0.64,-0.19,-1.89,-120,57,-77,213,501,314,47.43524565,-27.64513253,-100.9717761,18,0.14,0.08,-0.1,-49,82,-152,-575,263,35,0,0,0,14,-0.8,-0.22,0.13,93,86,45,639,-241,-14,"A"
"3444",1.23,4.51,-88,4,-0.13,-0.02,0,-12,0,42,49,639,-316,0,0,0,38,-0.02,-0.06,-0.1,-276,156,-189,-405,429,416,55.32555945,-50.94323599,-77.14547177,30,0.35,0.16,-0.41,-142,153,-203,-525,329,55,51.7,-39.9,160,33,0.08,-0.16,0.05,224,109,-201,128,554,667,"A"
"4917",118,16.8,-0.07,18,0.1,0.13,-0.23,-24,64,-158,24,600,-322,-40.6,38.3,-99,31,-0.32,-0.31,0.87,-295,-75,-9,-414,289,574,-4.575489843,-27.8000651,128.885684,2,-0.16,0.14,0.11,-6,-1,21,-484,374,-198,-57.1,17.8,175,52,-0.06,0.53,-0.23,-446,-247,-21,-502,-283,116,"A"
"8808",116,18,-5.12,17,0.11,0.1,-0.13,-20,63,-157,17,608,-312,-35,-33.3,-23,5,2.44,-1.48,0.92,32,-34,-7,648,133,250,91.26854629,14.88899476,63.52289397,2,0.21,0.22,-0.18,3,16,12,-473,394,-179,31.3,17.4,-77.8,17,0.63,-1.62,0.1,-111,124,5,-234,761,574,"B"
"17323",134,9.85,57.9,17,0.08,0.1,-0.66,-9,57,-160,26,604,-333,-73.1,-24,36.1,37,-0.27,-0.53,1.07,161,-174,-269,606,-193,-310,120.7956881,27.03951245,-23.59051868,3,0.19,-0.02,-0.3,8,28,-7,-238,574,-1,-66.4,17.3,-165,45,0.51,-2.1,-0.18,-415,-145,-7,-595,-108,223,"E"
"2338",0.91,4.88,-87.9,4,0,0,0,-15,3,38,51,628,-317,0,0,0,38,-0.02,-0.02,0.02,-280,156,-194,-424,448,350,46.9254326,-51.48666518,-83.8517623,30,0.35,0.13,-0.36,-147,135,-222,-561,287,-7,49.6,-61.1,164,33,0.03,-0.03,0.05,232,97,-205,131,532,700,"A"
"3014",1.74,6.69,-93.7,4,-0.02,0,-0.05,-23,6,25,-4,607,-312,56.2,-30,4.33,24,1.4,-0.8,0.41,140,32,-192,760,-163,-24,-94.15173469,-16.24033701,60.15444128,1,0,0.13,0.03,-2,-10,7,-546,312,-49,-0.26,46.9,106,29,-0.5,2.07,-0.07,-186,-83,-196,-470,-279,293,"A"
"16001",1.76,7.2,-93.6,3,0.02,0,0.02,-16,5,22,-3,608,-310,112,-59,-10.8,25,-2.52,0.9,-0.66,117,-6,-211,743,-286,-58,138.1144782,18.81694273,2.338474993,4,-0.14,-0.22,-0.05,8,42,1,-478,390,-35,169,53.1,150,31,0.05,2.44,0.84,-140,216,-165,-689,363,600,"D"
"6341",0.59,1.23,-88.6,3,-0.08,0,-0.08,-6,6,30,26,571,-417,84.5,-8.95,58.7,24,3.16,-1.03,-0.03,-104,211,21,302,200,541,22.55171768,81.56444251,70.48203716,18,-1.2,0.31,0.11,127,39,113,148,351,424,-178,12.7,92,45,-0.32,2.86,1.02,19,404,171,-450,1040,-484,"B"
"4626",119,17.3,-2.47,18,0.05,0.11,-0.18,-20,63,-165,23,595,-338,-66.7,-19.8,-44.7,7,2.86,-1.16,0.61,-5,-62,19,569,92,392,12.91230634,-22.72899172,130.8257456,3,-0.03,0.21,-0.23,-7,4,30,-499,364,-175,-36.9,8.49,-179,49,-0.02,-0.88,-0.97,-409,-242,14,-581,-122,292,"A"
"6359",1.15,2.56,-88.9,3,0,0,-0.08,-6,0,27,33,574,-421,83.6,-11.2,71.4,28,-4.14,1.61,-0.64,-132,226,74,299,177,562,32.94386551,73.29721732,73.29721732,14,1.64,-1.22,-0.77,91,44,91,-40,397,397,168,21.2,-148,51,-0.32,-0.63,0.41,-354,-231,269,-568,-5,-28,"B"
"2833",1.39,6.28,-93.7,3,-0.02,0.02,0.02,-19,2,25,0,603,-296,-144,1.66,-174,34,-0.02,-0.02,-0.02,-288,110,-121,-360,338,515,58.72029763,24.48287409,92.13601088,3,0.03,-0.22,-0.03,7,16,23,-553,305,-31,4.89,41.3,96.6,30,-0.34,1.24,-0.39,-181,-132,-190,-335,-414,232,"A"
"11778",124,-42.1,165,17,0.05,0.13,-0.16,50,43,-155,162,605,-296,-8.19,28.9,-87.9,26,-0.82,0.18,0.44,-257,-11,4,-215,360,550,51.13593475,-27.40048452,-97.73865095,18,0.24,0.1,-0.13,-47,85,-144,-541,291,34,0,0,0,47,0.74,2.23,1.35,-23,456,-18,-282,810,647,"C"
"2142",1.89,3.27,-88.9,2,-0.13,0.03,0.02,-8,5,20,32,567,-428,82.5,12.4,114,30,-0.9,0.18,-0.03,-230,165,-92,-372,301,530,-116.1109012,-35.83307347,-18.99854887,4,0.22,-0.43,-0.18,-13,-34,-7,-448,226,300,-177,3.68,-23.3,26,-0.48,3.12,0.92,203,-17,158,547,-742,111,"A"
"15389",119,16,-0.27,18,0.06,0.11,-0.16,-22,63,-166,21,595,-336,-38.4,14.9,-71,23,-1.85,0.27,-0.15,-207,-68,45,97,185,635,98.04953028,5.54132321,-58.6979672,2,0.29,0.21,-0.1,1,15,-10,-426,452,-49,43.3,24.6,-27.2,12,-0.5,1.69,0.07,-39,106,15,-182,760,594,"D"
"15268",125,-41.8,165,18,0.08,0.13,-0.2,49,43,-160,161,610,-303,-28.1,-36.6,-28.1,14,-0.06,-0.45,0.61,102,-76,-43,722,21,163,60.79785335,-25.2223275,-89.77829548,18,0.16,0.06,-0.16,-45,103,-141,-526,319,27,0,0,0,43,1.41,-0.71,0.44,-45,420,-3,-242,790,585,"D"
"11424",127,-41,162,18,0.14,0.11,-0.15,46,46,-162,170,606,-317,3.28,41.4,-75.5,29,0.63,-0.77,1.1,-280,-25,-28,-314,348,530,55.72054335,-25.59419582,-94.43256329,18,0.21,0.08,-0.16,-45,94,-144,-540,306,30,0,0,0,41,1.08,0.02,0.41,3,397,-61,-56,716,438,"C"
"3667",1.05,4.38,-87.8,4,-0.02,0,0,-15,4,31,55,628,-314,0,0,0,35,-0.1,0.08,-0.16,-259,201,-105,-425,432,373,73.00600559,-41.50662533,-67.71691684,33,0.14,0.1,0.02,-130,215,-202,-444,444,-62,78.6,24.5,96.9,30,-0.75,4.03,0.33,43,247,-153,-525,739,824,"A"
"17580",1.28,3.85,-86,3,-0.06,0.02,-0.07,-11,5,29,66,571,-424,95.1,-16.9,27.7,20,3.9,-1.48,-0.21,-2,191,-28,664,66,228,69.23472208,30.12308875,78.98845222,11,0.18,-0.14,0.03,33,71,79,-361,257,373,-178,7.42,113,39,-0.08,1.25,0.61,-82,324,179,-676,1180,-542,"E"
"8805",116,16.4,-4.6,17,0.14,0.11,-0.11,-20,61,-152,24,605,-313,-48.3,-35.7,11,23,-0.56,-0.32,0.92,147,-108,-131,722,-57,-68,90.34717832,25.40785925,60.10949079,13,0,-0.34,0.11,32,100,72,-322,531,-54,-56.3,-17,125,51,-0.21,1.65,0.03,-325,-377,-53,-41,-681,-166,"B"
"6306",1.13,2.37,-88.7,2,0.1,0,-0.08,-8,6,20,29,566,-438,88,-21.4,39.9,19,-4.14,1.51,-0.52,-22,181,15,622,49,326,40.45980746,64.60684559,76.79683601,13,1.53,-1.14,-0.28,78,51,90,-87,378,392,172,16.7,-136,43,-0.31,-1.8,0.18,-273,-229,227,-500,-134,-24,"B"
"16621",-2.59,5.51,-92.9,2,-0.08,-0.02,-0.44,-13,-7,6,9,579,-355,82.2,-8.31,77.7,22,2.38,-1.03,-0.16,-133,171,37,153,288,555,92.30029884,34.98421696,51.97199561,15,0.16,1.04,-0.02,49,114,71,-219,559,94,-156,31.4,-97.1,28,-0.47,-3.4,-1.66,-52,-112,-246,-106,-595,41,"E"
"6544",1.48,5.43,-92.7,3,-0.03,0,-0.08,-17,4,28,1,614,-293,71.2,11.6,98.3,32,1.41,-0.82,0.62,-280,136,-66,-240,358,552,107.3389091,12.58782599,47.837328,5,0.14,0.24,0.25,6,42,22,-566,265,-35,115,-35.3,113,42,0.56,-0.22,0.52,78,328,-234,-83,673,366,"B"
"4149",123,-42.6,167,17,0.13,0.11,-0.15,47,44,-158,164,603,-305,17.6,23.8,-139,30,0.13,-0.32,0.41,-285,-58,-36,-320,289,576,61.97384414,-16.12503847,-92.40362032,22,0.03,-0.16,-0.26,-34,123,-169,-494,379,5,0,0,0,39,0.87,0.56,0.44,15,376,-55,-41,720,458,"A"
"13115",121,25.5,-6.58,19,-0.51,-0.02,-0.46,-38,70,-171,2,591,-369,105,46.1,34.9,31,1.62,-1,-0.28,258,36,149,485,272,394,-24.75934828,35.02154177,113.554642,8,-0.13,0.21,-0.3,28,-20,74,511,-534,-101,-148,40.7,-121,32,0.1,-1.91,-0.44,-106,-198,-212,-331,-477,110,"D"
"13450",119,15.7,-0.52,18,0.14,0.11,-0.2,-23,59,-164,23,602,-317,-35.3,1.53,-56.3,13,-0.59,-0.13,0.84,-80,-39,86,300,195,557,102.8849017,39.57687658,-34.9770646,2,-0.14,-0.13,-0.03,9,20,-8,-360,505,-44,42.1,58.3,-28.6,31,0.05,-0.29,-0.07,-272,143,25,-542,690,578,"D"
"1779",1.12,4.4,-87.6,3,0.03,0.02,0,-7,2,30,60,567,-409,72.6,44.2,86.1,30,-0.02,-0.02,0.1,-222,151,-122,-352,235,579,-76.71928563,-53.40450514,-53.40450514,2,0.24,-0.5,-0.41,-11,-15,-11,-437,257,284,149,-39.2,115,36,-0.26,-1.51,0.34,-18,285,201,-421,990,-429,"A"
"6860",1.58,8.12,-93.1,3,0.02,0.02,0.03,-13,5,24,8,603,-298,74.7,18.9,104,30,-0.14,0.02,-0.21,-257,142,-23,-326,339,542,113.2421215,18.65319163,39.17572601,9,0.03,-0.95,-0.51,17,83,35,-437,436,25,176,43.9,-157,26,0.06,-4.26,-0.67,-135,103,-190,-587,-99,395,"B"
"3462",1.47,6.01,-87.5,4,0,0,0,-15,4,37,57,632,-323,0,0,0,38,0.08,-0.03,-0.08,-276,155,-187,-407,419,397,53.32674677,-52.16560542,-77.86589627,31,0.34,0.18,-0.26,-149,152,-210,-519,329,62,52,-38.8,159,33,0.03,-0.02,-0.02,230,103,-198,121,559,661,"A"
"15174",124,-42,165,18,0.16,0.11,-0.16,50,45,-158,159,615,-304,-9.2,-8.23,-42.1,16,-0.35,-0.47,0.98,-69,-70,123,314,120,578,55.66345712,-30.13562696,-91.97759794,17,0.19,0.22,-0.2,-50,89,-134,-530,315,43,0,0,0,53,1.22,-1.25,-0.36,-171,489,4,-582,721,693,"D"
"8507",117,15.9,-4.26,18,0.11,0.11,-0.15,-22,61,-159,16,599,-327,-48.3,-24.3,-20.5,10,3.03,-1.33,0.8,53,-71,-38,695,81,188,107.3093777,49.43824302,-5.274535556,6,0.06,0.48,0.08,27,50,-3,-214,593,-79,22.8,8.89,-83.1,15,0.22,-1.7,-0.57,-52,133,38,-145,752,656,"B"
"1288",121,-43.8,173,17,0.18,0.11,-0.13,49,43,-157,164,612,-305,13.8,-9.44,-30.3,18,2.12,-0.9,0.72,104,-96,-104,760,-15,63,44.06491551,-35.77140034,-98.62367174,16,0,-0.02,-0.02,-55,67,-131,-541,301,54,0,0,0,48,1.01,1.67,1.16,-60,467,-26,-312,806,594,"A"
"3619",1.54,5.21,-87.7,3,0.05,0,0,-12,4,29,49,623,-329,0,0,0,35,-0.47,0.1,0.07,-271,178,-120,-418,401,433,68.53807192,-42.6694081,-71.32164167,34,-0.13,0,-0.26,-136,208,-215,-438,452,-31,-44.9,71.6,-15.7,31,-0.26,1.88,0.03,-234,-31,-187,-613,6,479,"A"
"16744",136,24.1,6.27,24,-0.4,-0.03,-0.97,-81,63,-209,-5,545,-438,11.9,32.3,-54.3,16,-2.17,0.51,0.26,17,45,150,-325,353,516,-39.67086629,0,117.4087664,8,0.77,-0.34,-0.39,0,-31,74,457,-571,-76,-144,40.7,-109,31,-0.11,1.11,0.26,-70,-201,-211,-268,-535,63,"E"
"16681",0.9,7.31,-93.2,3,0.1,-0.02,-0.02,-16,3,27,-1,612,-295,83.9,7.19,115,31,-1,0.35,-0.43,-271,131,8,-364,324,541,-50.64446434,-29.53165905,96.95321101,2,0.19,-0.24,-0.36,-6,-10,17,-554,273,3,141,15.6,104,39,-0.13,-0.79,-0.31,61,298,-226,-309,757,595,"E"
"7003",0.39,3.94,-88.5,5,-0.16,-0.03,-0.02,-8,6,45,40,632,-315,0,0,0,20,-3.64,1.72,-0.61,-74,155,-96,565,185,354,57.55835714,-51.83813577,-74.35650172,29,0.35,0.14,-0.36,-142,156,-194,-506,348,51,-162,43.6,-89.9,44,0.13,0.22,0.18,-132,-306,-279,-121,-609,-25,"B"
"19372",134,20.9,23.2,20,0.02,-0.08,-0.21,-50,65,-183,1,580,-385,95.9,-13.4,-35.5,50,2.01,-1.49,0.26,411,-202,-179,569,-305,-306,-46.34677142,-2.682637863,110.6429623,11,0.61,1.43,-0.31,-3,-50,100,348,-658,-83,166,2.21,114,53,-0.05,3.85,-0.21,-5,476,-197,-421,713,487,"E"
"17605",1.29,1.67,-85.7,3,0.05,0.02,-0.03,-9,2,29,50,569,-420,92.5,-17.2,46.1,20,-4.3,1.51,-0.15,-88,178,-20,559,82,387,66.3,55.3,62.8,18,-0.14,-0.16,-0.07,93,109,104,-137,365,392,-179,12.6,-19.3,28,-0.19,-3.02,-0.62,226,27,146,542,-606,47,"E"
"8955",1.24,3.38,-88.2,4,-0.11,-0.02,-0.02,-6,3,39,41,631,-320,0,0,0,27,2.91,-1.54,0.49,-121,203,-126,416,305,429,58.2,-50.9,-74.5,29,0.32,0.14,-0.48,-141,159,-196,-508,360,27,131,-34.2,90.4,31,0.03,0,0.07,192,154,-171,-28,686,796,"B"
"15081",124,-41.9,166,18,0.1,0.11,-0.18,45,43,-160,162,607,-300,-36.8,-52.1,-1.9,17,-1.45,-0.11,0.66,84,-108,-92,763,-49,35,77.1250028,-21.1243913,-75.55625476,18,0.05,0.42,0.02,-37,123,-121,-474,383,59,0,0,0,44,0.92,1.33,0.28,-383,205,-3,-673,105,474,"D"
"15917",123,25.5,-4.93,19,-0.47,-0.02,-0.46,-33,67,-175,8,586,-365,40.1,52.6,-8.21,35,-2.46,0.48,0.13,307,-4,162,585,154,367,-3.481787761,27.01574001,129.8292381,9,0.39,-0.4,-0.15,23,-3,83,489,-561,-94,132,32.4,118,37,0.35,0.74,0.13,-149,288,-168,-624,575,518,"D"
"115",1.15,7.39,-94.1,3,0,0,0,-22,3,24,-7,600,-309,-133,16.6,-163,34,0.02,0,-0.02,-288,110,-122,-365,338,511,13.02493063,-70.31756075,-85.05658246,37,0,-0.02,-0.02,-234,47,-272,-560,292,-69,22.3,-63.4,-146,37,0.03,-0.06,-0.02,202,207,-213,-7,654,470,"A"
"1744",1.52,4.33,-87.8,3,-0.06,0.02,0.03,-8,2,26,56,568,-425,71.5,43.2,84.6,29,0,-0.02,0,-218,153,-112,-331,227,590,141.4935949,10.99858738,10.99858738,1,-0.05,0.37,-0.18,1,9,1,-370,343,280,-122,22.9,2.26,23,-0.26,1.93,0.34,117,-133,133,357,-710,31,"A"
"10157",1.35,1.94,-87.3,2,0.02,0,-0.05,-5,3,18,45,561,-438,73.7,-3.25,95.1,29,2.31,-0.58,0.41,-206,189,-37,-112,276,619,86.08010159,17.42205666,-67.94426105,5,0.21,0.21,0.08,8,35,-29,-508,235,216,-173,6.25,102,43,0.18,-2.68,-0.1,-137,344,206,-685,1200,-547,"C"
"13331",118,16.3,-1.92,18,0.11,0.11,-0.16,-22,61,-162,24,601,-329,-42.3,-16.8,-23.8,13,1.08,-0.74,0.67,57,-107,-22,643,39,308,104.7332899,49.65001354,-15.21526749,5,0.1,-0.02,-0.13,22,40,-7,-358,509,-53,-40.2,48,-129,41,0.14,-1.56,-0.23,-398,31,11,-684,300,460,"D"
"12274",120,14.2,3.22,18,0.06,0.13,-0.16,-18,62,-167,23,599,-336,-33.9,-1.06,-45.1,9,1.53,-0.8,0.75,-44,-56,52,410,136,514,-108.1324654,-46.568239,13.98099835,7,-0.05,0.32,-0.07,-29,-57,9,-462,408,-31,-31.3,41.5,-136,38,0.66,-1.99,0.16,-372,-18,20,-692,378,529,"C"
"8448",116,16.5,-6.05,18,0.13,0.11,-0.15,-19,63,-159,10,600,-319,-61.9,-23.8,10.7,25,2.78,-1.41,1.03,122,-129,-175,723,-78,-106,91.39534214,17.91394808,62.37017162,10,0.16,-0.48,-0.03,18,80,59,-373,495,-58,28.7,2.38,-68.1,9,0.21,0,0.21,-44,79,4,-33,684,546,"B"
"500",124,26.1,-3.08,20,-0.43,-0.03,-0.46,-39,69,-174,4,577,-377,136,1.49,93.6,16,-2.36,0.75,-0.02,58,38,146,-71,328,601,-23.2536255,31.70660757,117.2659672,8,0.66,-0.16,-0.23,23,-17,68,523,-524,-93,109,63.6,111,34,0.4,-2.68,-0.2,-97,266,-181,-646,551,564,"A"
"3277",0.5,4.5,-88,5,-0.02,0.03,0,-11,1,46,48,636,-307,0,0,0,37,-0.02,-0.05,0.08,-275,158,-182,-407,429,405,55.62224543,-51.21154377,-76.65068708,30,0.35,0.14,-0.38,-142,153,-201,-513,335,61,53.5,-46.4,160,33,0.06,-0.08,0.13,225,108,-201,132,553,655,"A"
"1530",121,-43.9,173,17,0.14,0.11,-0.16,47,45,-156,165,606,-296,1.97,60.8,-73.4,24,-2.09,0.43,0.38,-213,-13,103,-63,258,636,55.2037821,-23.82377786,-95.81002711,19,0.32,0.1,-0.23,-45,100,-156,-520,343,-32,0,0,0,50,1.48,-2.44,-0.2,-164,458,-46,-568,712,646,"A"
"4906",119,16.9,0.29,18,0.1,0.11,-0.16,-25,60,-163,20,605,-336,-29.7,20,-74.2,24,1.73,-1,0.64,-231,-47,30,-49,246,637,98.27937232,0,58.80026035,2,-0.34,0.06,0.1,0,15,10,-472,386,-193,-40.9,31.9,-165,46,0.32,-1.27,-0.15,-443,-89,31,-657,111,388,"A"
"16427",1.76,6.4,-92.1,1,0.13,-0.02,-0.49,-8,4,-3,18,569,-384,166,-17.2,-111,50,0.87,-0.14,0.03,-40,-80,-477,-39,-250,-510,84.46851264,66.37992903,25.00978001,19,-0.16,1.61,-0.3,117,142,47,-9,609,68,150,41.9,151,38,-0.27,3.68,0.95,-138,312,-154,-698,420,676,"E"
"1925",0.93,3.78,-87.3,3,0.06,-0.02,-0.03,-9,4,29,56,579,-417,77.8,-33.3,20,19,3.21,-1.01,0.21,67,123,-122,693,28,193,51.66828137,37.06975695,91.1458269,3,0.42,-0.77,-0.44,11,15,24,-351,314,323,166,-5.49,66.7,36,-0.34,-2.62,-0.31,31,325,122,-253,841,-519,"A"
"12378",120,14.9,3.24,18,0.13,0.08,-0.2,-23,67,-162,23,601,-331,-29.2,-6.6,-34.3,6,-0.92,-0.03,0.52,13,-54,-6,586,102,363,-107.4901385,-43.96087351,21.44322519,7,-0.11,0.39,-0.05,-30,-62,15,-469,402,-2,44.9,17.4,-30.1,12,-0.27,0.66,0.05,-55,100,5,-95,703,499,"C"
"16166",137,-31.6,142,19,-0.08,0.27,-0.36,19,49,-182,161,606,-370,-88.6,-20.6,77,53,-0.67,0,0.97,33,-222,-467,184,-194,-552,47.33693541,-33.91385383,-97.11343123,17,0.05,0.05,-0.3,-54,74,-134,-558,250,87,0,0,0,47,1.54,-3.18,-0.64,-72,458,-7,-640,654,735,"E"
"19144",0.46,5.39,-88.7,5,0.08,0,0.02,-22,4,44,35,633,-295,0,0,0,32,-0.29,0.5,-0.72,-206,240,-33,-391,452,383,52.95217246,-53.36483727,-77.14964116,29,0.16,0.29,-0.36,-143,142,-196,-533,273,114,147,-2.34,93,29,-0.05,0.02,-0.11,178,149,-170,-69,709,870,"E"
"15529",118,16.2,-1.54,18,0.16,0.11,-0.18,-24,62,-161,18,604,-316,-69,-30.7,22.8,30,-0.34,0,0.54,163,-144,-199,694,-81,-178,116.0366238,28.60221749,28.60221749,1,-0.02,0.26,0.11,4,13,4,-391,475,-48,-78.8,15.6,-161,52,-0.26,-0.9,-0.52,-438,-254,-27,-421,-379,118,"D"
"261",127,27.3,1.68,20,-0.39,-0.06,-0.43,-45,73,-179,-2,572,-398,0.99,-6.25,-119,3,-0.24,-0.22,0.13,-5,-11,26,-416,322,492,-29.46318199,12.61690808,124.8780399,11,0.45,-0.08,-0.2,13,-30,98,477,-562,-30,77.7,3.44,105,34,0.63,0.03,-0.1,148,216,-207,-174,739,702,"A"
"1052",127,-42.6,166,18,-0.05,0.13,-0.23,51,44,-162,184,597,-333,48.1,34,-175,25,0.29,-0.48,0.74,-241,-63,3,-182,265,635,45.14434023,-30.58293548,-101.2108289,17,0.18,0.06,-0.08,-49,71,-138,-572,235,64,0,0,0,43,0.98,0.51,0.44,-34,410,-71,-114,711,324,"A"
"3551",0.74,5.3,-87.7,4,0.06,0,0.02,-13,5,37,52,633,-312,0,0,0,38,0.32,0.03,-0.44,-283,166,-170,-416,427,403,62.74856494,-46.91666433,-73.61857309,30,0.35,0.61,-0.11,-134,174,-199,-472,415,-1,55.1,0.29,144,38,1.53,-3.97,-0.15,211,273,-146,-231,795,833,"A"
"4124",121,-43.1,170,17,0.13,0.11,-0.16,48,44,-155,168,621,-300,-100,60,-56.5,29,-0.02,-0.29,0.62,-273,-77,-22,-296,234,616,54.96378671,-23.02527417,-96.42207843,20,-0.02,-0.27,-0.28,-45,103,-162,-523,339,-6,0,0,0,38,1.08,-0.85,0.26,-356,122,-3,-579,-125,338,"A"
